GeneSymbol	NumNormalStainedPositive	NumNormalPositiveFPKM	NumCancerlStainedPositive	Which	TissueSpecificity	MatchedCancer
ACRV1	0	0	1	Melanoma	Testis	Testis
ADAM2	0	0	2		Testis	Testis
BOLL	0	0	2	Thyroid	Testis	Testis
DKKL1	0	0	0		Testis	Testis
FMR1NB	0	0	2		Testis	Testis
PRM2	0	0	1		Testis	Testis
SPERMT	0	0	2	Stomach	Testis	Testis
TEX101	0	0	1	Testis	Testis	Testis
TNP1	0	0	0		Testis	Testis
ZPBP2	0	0	0		Testis	Testis
TNNT2	0	0	0		CardiacMuscle	Rhabdomyosarcoma
CSH1	0	0	0		Placenta	Choriocarcinoma
