RxnID	Comps	Eq	Subs	Type
HMR_4097	c	acetate[c] + ATP[c] + CoA[c] => acetyl-CoA[c] + AMP[c] + PPi[c]	Glycolysis / Gluconeogenesis	Core
HMR_4108	c	acetyl adenylate[c] + CoA[c] => acetyl-CoA[c] + AMP[c]	Glycolysis / Gluconeogenesis	Core
HMR_4133	c	acetate[c] + ATP[c] => acetyl adenylate[c] + PPi[c]	Glycolysis / Gluconeogenesis	Core
HMR_4137	m	CoA[m] + NAD+[m] + pyruvate[m] => acetyl-CoA[m] + CO2[m] + H+[m] + NADH[m]	Glycolysis / Gluconeogenesis	Core
HMR_4281	p	H+[p] + NADH[p] + pyruvate[p] <=> L-lactate[p] + NAD+[p]	Glycolysis / Gluconeogenesis	Core
HMR_4388	c	H+[c] + NADH[c] + pyruvate[c] <=> L-lactate[c] + NAD+[c]	Glycolysis / Gluconeogenesis	Core
HMR_4283	c	acetaldehyde[c] + H2O[c] + NADP+[c] => acetate[c] + H+[c] + NADPH[c]	Glycolysis / Gluconeogenesis	Core
HMR_4379	c	ATP[c] + fructose-6-phosphate[c] => ADP[c] + fructose-1,6-bisphosphate[c]	Glycolysis / Gluconeogenesis	Core
HMR_4301	c	fructose-6-phosphate[c] + UTP[c] => fructose-1,6-bisphosphate[c] + UDP[c]	Glycolysis / Gluconeogenesis	Core
HMR_4355	c	DHAP[c] + erythrose-4-phosphate[c] => sedoheptulose-1,7-bisphosphate[c]	Glycolysis / Gluconeogenesis	Core
HMR_4358	c	ADP[c] + PEP[c] => ATP[c] + pyruvate[c]	Glycolysis / Gluconeogenesis	Core
HMR_4360	c	H2O[c] + methylglyoxal[c] + NADP+[c] => H+[c] + NADPH[c] + pyruvate[c]	Glycolysis / Gluconeogenesis	Core
HMR_4363	c	2-phospho-D-glycerate[c] <=> H2O[c] + PEP[c]	Glycolysis / Gluconeogenesis	Core
HMR_4365	c	2-phospho-D-glycerate[c] <=> 3-phospho-D-glycerate[c]	Glycolysis / Gluconeogenesis	Core
HMR_4368	c	1,3-bisphospho-D-glycerate[c] + ADP[c] <=> 3-phospho-D-glycerate[c] + ATP[c]	Glycolysis / Gluconeogenesis	Core
HMR_4371	c	1,3-bisphospho-D-glycerate[c] => 2,3-bisphospho-D-glycerate[c]	Glycolysis / Gluconeogenesis	Core
HMR_4372	c	2,3-bisphospho-D-glycerate[c] + H2O[c] => 3-phospho-D-glycerate[c] + Pi[c]	Glycolysis / Gluconeogenesis	Core
HMR_4373	c	1,3-bisphospho-D-glycerate[c] + H+[c] + NADH[c] <=> GAP[c] + NAD+[c] + Pi[c]	Glycolysis / Gluconeogenesis	Core
HMR_4375	c	DHAP[c] + GAP[c] <=> fructose-1,6-bisphosphate[c]	Glycolysis / Gluconeogenesis	Core
HMR_4381	c	fructose-6-phosphate[c] <=> glucose-6-phosphate[c]	Glycolysis / Gluconeogenesis	Core
HMR_4391	c	DHAP[c] <=> GAP[c]	Glycolysis / Gluconeogenesis	Core
HMR_4394	c	ATP[c] + glucose[c] => ADP[c] + glucose-6-phosphate[c]	Glycolysis / Gluconeogenesis	Core
HMR_4396	c	glucose-1-phosphate[c] <=> glucose-6-phosphate[c]	Glycolysis / Gluconeogenesis	Core
HMR_6410	m	lipoamide[m] + pyruvate[m] => CO2[m] + S-acetyldihydrolipoamide[m]	Glycolysis / Gluconeogenesis	Core
HMR_6412	m	CoA[m] + S-acetyldihydrolipoamide[m] => acetyl-CoA[m] + dihydrolipoamide[m]	Glycolysis / Gluconeogenesis	Core
HMR_7745	c	beta-D-glucose[c] <=> glucose[c]	Glycolysis / Gluconeogenesis	Core
HMR_7746	c	ATP[c] + beta-D-glucose[c] => ADP[c] + beta-D-glucose-6-phosphate[c]	Glycolysis / Gluconeogenesis	Core
HMR_7748	c	beta-D-glucose-6-phosphate[c] <=> glucose-6-phosphate[c]	Glycolysis / Gluconeogenesis	Core
HMR_7749	c	beta-D-glucose-6-phosphate[c] <=> fructose-6-phosphate[c]	Glycolysis / Gluconeogenesis	Core
HMR_3989	s	H2O[s] + maltose[s] => 2 glucose[s]	Starch and sucrose metabolism	Core
HMR_4122	c	H2O[c] + 2 NAD+[c] + UDP-glucose[c] => 2 H+[c] + 2 NADH[c] + UDP-glucuronate[c]	Starch and sucrose metabolism	Core
HMR_5395	c	glycogenin[c] + 8 UDP-glucose[c] => glycogenin G8[c] + 8 UDP[c]	Starch and sucrose metabolism	Core
HMR_5396	c	glycogenin G8[c] + 3 UDP-glucose[c] => glycogenin G11[c] + 3 UDP[c]	Starch and sucrose metabolism	Core
HMR_9727	c	UDP-glucose[c] => UDP[c] + glycogen[c]	Starch and sucrose metabolism	Core
HMR_5397	c	glycogenin G11[c] => glycogenin G4G7[c]	Starch and sucrose metabolism	Core
HMR_5398	c	glycogenin G4G7[c] + 3 Pi[c] => 3 glucose-1-phosphate[c] + glycogenin G4G4[c]	Starch and sucrose metabolism	Core
HMR_5399	c	glycogenin G4G4[c] => glycogenin G7G1[c]	Starch and sucrose metabolism	Core
HMR_5400	c	glycogenin G7G1[c] + H2O[c] => glucose[c] + glycogenin G7[c]	Starch and sucrose metabolism	Core
HMR_5401	c	glycogenin G7[c] + 7 Pi[c] => 7 glucose-1-phosphate[c] + glycogenin[c]	Starch and sucrose metabolism	Core
HMR_8587	c	H2O[c] + maltose[c] => 2 glucose[c]	Starch and sucrose metabolism	Core
HMR_3944	c	glucose-1-phosphate[c] + UTP[c] => PPi[c] + UDP-glucose[c]	Galactose metabolism	Core
