RxnID	Comps	Eq	Subs	Type	Class
HMR_8652	r	carbamoyl-phosphate[r] + glucose[r] => CO2[r] + glucose-6-phosphate[r] + NH3[r]	Glycolysis / Gluconeogenesis	Pan	Absent
HMR_4831	s	lactose[s] + NAD+[s] <=> 3-ketolactose[s] + H+[s] + NADH[s]	Galactose metabolism	Pan	Absent
HMR_4832	s	3-keto-beta-D-galactose[s] + glucose[s] <=> 3-ketolactose[s] + H2O[s]	Galactose metabolism	Pan	Absent
HMR_8764	l	H2O[l] + lactose[l] => galactose[l] + glucose[l]	Galactose metabolism	Pan	Absent
HMR_8766	c	galactose[c] + H+[c] + NADPH[c] <=> galactitol[c] + NADP+[c]	Galactose metabolism	Pan	Absent
HMR_4310	c	ATP[c] + fructose[c] => ADP[c] + fructose-1-phosphate[c]	Fructose and mannose metabolism	Pan	Absent
HMR_4317	c	ATP[c] + D-glucitol[c] => ADP[c] + sorbitol-3-phosphate[c]	Fructose and mannose metabolism	Pan	Absent
HMR_4318	c	ATP[c] + fructose[c] => ADP[c] + fructose-3-phosphate[c]	Fructose and mannose metabolism	Pan	Absent
HMR_4320	c	ATP[c] + mannose-1-phosphate[c] => ADP[c] + D-mannose-1,6-bisphosphate[c]	Fructose and mannose metabolism	Pan	Absent
HMR_4356	c	DHAP[c] + glyceraldehyde[c] => fructose-1-phosphate[c]	Fructose and mannose metabolism	Pan	Absent
HMR_4403	c	6-deoxy-L-galactose[c] => L-fuculose[c]	Fructose and mannose metabolism	Pan	Absent
HMR_4594	c	D-xylose[c] + NADP+[c] => D-xylonolactone[c] + H+[c] + NADPH[c]	Pentose and glucuronate interconversions	Pan	Absent
HMR_4093	c	acetyl-CoA[c] + H2O[c] => acetate[c] + CoA[c]	Pyruvate metabolism	Pan	Absent
HMR_0718	c	AKG[c] + FADH2[c] => 2-hydroxyglutarate[c] + FAD[c]	Butanoate metabolism	Pan	Absent
HMR_0719	c	AKG[c] + H+[c] + NADH[c] => 2-hydroxyglutarate[c] + NAD+[c]	Butanoate metabolism	Pan	Absent
HMR_7709	m	(R)-3-hydroxybutanoyl-CoA[m] <=> crotonyl-CoA[m] + H2O[m]	Butanoate metabolism	Pan	Absent
HMR_4476	c	6-phospho-D-gluconate[c] + ADP[c] <=> ATP[c] + D-gluconic acid[c]	Pentose phosphate pathway	Pan	Absent
HMR_9799	c	ATP[c] + sedoheptulose[c] <=> ADP[c] + sedoheptulose-7-phosphate[c]	Pentose phosphate pathway	Pan	Absent
HMR_9800	c	ATP[c] + sedoheptulose[c] <=> ADP[c] + sedoheptulose-1-phosphate[c]	Pentose phosphate pathway	Pan	Absent
HMR_4086	s	AMP[s] + PPi[s] <=> adenine[s] + PRPP[s]	Purine metabolism	Pan	Absent
HMR_4135	m	ADP[m] + GDP[m] <=> ATP[m] + GMP[m]	Purine metabolism	Pan	Absent
HMR_4451	m	ADP[m] + GMP[m] => ATP[m] + guanosine[m]	Purine metabolism	Pan	Absent
HMR_6601	c	allantoate[c] + H2O[c] => urea[c] + ureidoglycolate[c]	Purine metabolism	Pan	Absent
HMR_6610	c	5-hydroxyisourate[c] + H2O[c] => allantoin[c] + CO2[c]	Purine metabolism	Pan	Absent
HMR_4211	s	H2O[s] + UTP[s] => PPi[s] + UMP[s]	Pyrimidine metabolism	Pan	Absent
HMR_5415	m	dADP[m] + H2O[m] + mitooxidized thioredoxin[m] => ADP[m] + mitothioredoxin[m]	Pyrimidine metabolism	Pan	Absent
HMR_5416	m	dGDP[m] + H2O[m] + mitooxidized thioredoxin[m] => GDP[m] + mitothioredoxin[m]	Pyrimidine metabolism	Pan	Absent
