ModelNameMAT	ModelNameXML	PatientIndex	ProbabilityThreshold	RelativeGap	ACC	MCC	FisherExactTestp	RxnAddedForTask...	TimeElapsedINIT	TimeElapsedTINIT
TCGA-57-1582-01A-01R-1566-13	TCGA-57-1582-01A-01R-1566-13T9900RG5_TINIT.mat	TCGA-57-1582-01A-01R-1566-13T9900RG5.xml	804	0.99	0.05	0.947584	0.895935	0	1.094391	22641.5174	5392.344511
TCGA-BG-A18A-01A-21R-A12I-07	TCGA-BG-A18A-01A-21R-A12I-07T9900RG5_TINIT.mat	TCGA-BG-A18A-01A-21R-A12I-07T9900RG5.xml	647	0.99	0.05	0.946637	0.893911	0	1.13353	17955.92633	13135.21726
TCGA-BK-A0CC-01A-21R-A16W-07	TCGA-BK-A0CC-01A-21R-A16W-07T9900RG5_TINIT.mat	TCGA-BK-A0CC-01A-21R-A16W-07T9900RG5.xml	734	0.99	0.05	0.945374	0.893117	0	1.224301	19450.06378	6714.304282
TCGA-AP-A05P-01A-11R-A16W-07	TCGA-AP-A05P-01A-11R-A16W-07T9900RG5_TINIT.mat	TCGA-AP-A05P-01A-11R-A16W-07T9900RG5.xml	706	0.99	0.05	0.941269	0.884474	0	1.028623	20383.11929	9857.930062
TCGA-D1-A174-01A-11R-A12I-07	TCGA-D1-A174-01A-11R-A12I-07T9900RG5_TINIT.mat	TCGA-D1-A174-01A-11R-A12I-07T9900RG5.xml	666	0.99	0.05	0.939691	0.882191	0	1.399907	13256.3179	8627.672571
TCGA-AX-A1C8-01A-11R-A137-07	TCGA-AX-A1C8-01A-11R-A137-07T9900RG5_TINIT.mat	TCGA-AX-A1C8-01A-11R-A137-07T9900RG5.xml	683	0.99	0.05	0.939059	0.88093	0	1.016799	19086.74873	5387.64421
TCGA-A2-A1G1-01A-21R-A13Q-07	TCGA-A2-A1G1-01A-21R-A13Q-07T9900RG5_TINIT.mat	TCGA-A2-A1G1-01A-21R-A13Q-07T9900RG5.xml	319	0.99	0.05	0.939691	0.874899	0	1.057269	22601.60329	2355.895499
TCGA-EO-A1Y8-01A-11R-A157-07	TCGA-EO-A1Y8-01A-11R-A157-07T9900RG5_TINIT.mat	TCGA-EO-A1Y8-01A-11R-A157-07T9900RG5.xml	738	0.99	0.05	0.935586	0.874537	0	1.199436	10080.8609	16993.85448
TCGA-AX-A1CP-01A-11R-A137-07	TCGA-AX-A1CP-01A-11R-A137-07T9900RG5_TINIT.mat	TCGA-AX-A1CP-01A-11R-A137-07T9900RG5.xml	733	0.99	0.05	0.93527	0.873178	0	1.019956	25772.96641	877.010954
TCGA-BS-A0UJ-01A-12R-A104-07	TCGA-BS-A0UJ-01A-12R-A104-07T9900RG5_TINIT.mat	TCGA-BS-A0UJ-01A-12R-A104-07T9900RG5.xml	725	0.99	0.05	0.934638	0.872681	0	1.121579	17478.35688	7717.632035
TCGA-AX-A05Z-01A-11R-A00V-07	TCGA-AX-A05Z-01A-11R-A00V-07T9900RG5_TINIT.mat	TCGA-AX-A05Z-01A-11R-A00V-07T9900RG5.xml	704	0.99	0.05	0.933691	0.87159	0	1.700599	20284.88996	7123.084658
TCGA-D1-A16I-01A-11R-A12I-07	TCGA-D1-A16I-01A-11R-A12I-07T9900RG5_TINIT.mat	TCGA-D1-A16I-01A-11R-A12I-07T9900RG5.xml	705	0.99	0.05	0.933375	0.871253	0	1.011804	11818.61828	18249.85854
TCGA-AP-A059-01A-21R-A118-07	TCGA-AP-A059-01A-21R-A118-07T9900RG5_TINIT.mat	TCGA-AP-A059-01A-21R-A118-07T9900RG5.xml	754	0.99	0.05	0.931481	0.866586	0	1.13688	18067.16178	4708.833041
TCGA-AP-A056-01A-11R-A00V-07	TCGA-AP-A056-01A-11R-A00V-07T9900RG5_TINIT.mat	TCGA-AP-A056-01A-11R-A00V-07T9900RG5.xml	653	0.99	0.05	0.931165	0.865744	0	1.057844	19478.05384	10933.36335
TCGA-AA-3947-01A-01R-1022-07	TCGA-AA-3947-01A-01R-1022-07T9900RG5_TINIT.mat	TCGA-AA-3947-01A-01R-1022-07T9900RG5.xml	413	0.99	0.05	0.929586	0.864971	0	1.337627	28544.66854	5412.76927
TCGA-43-5668-01A-01R-1635-07	TCGA-43-5668-01A-01R-1635-07T9900RG5_TINIT.mat	TCGA-43-5668-01A-01R-1635-07T9900RG5.xml	1014	0.99	0.05	0.931481	0.861156	0	1.085993	26773.87859	1517.732989
TCGA-BH-A0E6-01A-11R-A034-07	TCGA-BH-A0E6-01A-11R-A034-07T9900RG5_TINIT.mat	TCGA-BH-A0E6-01A-11R-A034-07T9900RG5.xml	313	0.99	0.05	0.929586	0.855074	0	1.008993	25011.10369	2293.75758
TCGA-D1-A15X-01A-11R-A118-07	TCGA-D1-A15X-01A-11R-A118-07T9900RG5_TINIT.mat	TCGA-D1-A15X-01A-11R-A118-07T9900RG5.xml	720	0.99	0.05	0.922955	0.850212	0	1.061865	18099.79218	8753.507128
TCGA-24-1553-01A-01R-1566-13	TCGA-24-1553-01A-01R-1566-13T9900RG5_TINIT.mat	TCGA-24-1553-01A-01R-1566-13T9900RG5.xml	812	0.99	0.05	0.922955	0.845787	0	1.258427	16468.56226	6988.12478
TCGA-BS-A0UT-01A-11R-A104-07	TCGA-BS-A0UT-01A-11R-A104-07T9900RG5_TINIT.mat	TCGA-BS-A0UT-01A-11R-A104-07T9900RG5.xml	669	0.99	0.05	0.916009	0.839389	0	1.197881	18070.29419	6207.42225
TCGA-56-6546-01A-11R-1820-07	TCGA-56-6546-01A-11R-1820-07T9900RG5_TINIT.mat	TCGA-56-6546-01A-11R-1820-07T9900RG5.xml	1007	0.99	0.05	0.918535	0.836782	0	1.590316	21369.40044	9667.17645
TCGA-D1-A177-01A-21R-A12I-07	TCGA-D1-A177-01A-21R-A12I-07T9900RG5_TINIT.mat	TCGA-D1-A177-01A-21R-A12I-07T9900RG5.xml	711	0.99	0.05	0.910325	0.830768	0	1.430723	20677.4144	12360.99552
TCGA-B6-A0X5-01A-21R-A109-07	TCGA-B6-A0X5-01A-21R-A109-07T9900RG5_TINIT.mat	TCGA-B6-A0X5-01A-21R-A109-07T9900RG5.xml	249	0.99	0.05	0.917272	0.830107	0	1.484919	21460.64974	4486.023798
TCGA-44-2662-01A-01R-0946-07	TCGA-44-2662-01A-01R-0946-07T9900RG5_TINIT.mat	TCGA-44-2662-01A-01R-0946-07T9900RG5.xml	591	0.99	0.05	0.919798	0.829798	0	1.430956	26339.17924	1868.98642
TCGA-D1-A16Y-01A-31R-A12I-07	TCGA-D1-A16Y-01A-31R-A12I-07T9900RG5_TINIT.mat	TCGA-D1-A16Y-01A-31R-A12I-07T9900RG5.xml	646	0.99	0.05	0.906536	0.820156	0	2.329153	13076.18483	28080.21323
TCGA-21-5786-01A-01R-1635-07	TCGA-21-5786-01A-01R-1635-07T9900RG5_TINIT.mat	TCGA-21-5786-01A-01R-1635-07T9900RG5.xml	968	0.99	0.05	0.907483	0.815439	0	1.155415	24707.69294	8334.426597
TCGA-A5-A0R9-01A-11R-A104-07	TCGA-A5-A0R9-01A-11R-A104-07T9900RG5_TINIT.mat	TCGA-A5-A0R9-01A-11R-A104-07T9900RG5.xml	732	0.99	0.05	0.89959	0.810349	0	1.483157	21002.79756	5110.969248
TCGA-B5-A11N-01A-11R-A118-07	TCGA-B5-A11N-01A-11R-A118-07T9900RG5_TINIT.mat	TCGA-B5-A11N-01A-11R-A118-07T9900RG5.xml	707	0.99	0.05	0.895169	0.799963	0	1.233982	16569.76939	12296.24936
TCGA-IB-7645-01A-22R-2204-07	TCGA-IB-7645-01A-22R-2204-07T9900RG5_TINIT.mat	TCGA-IB-7645-01A-22R-2204-07T9900RG5.xml	939	0.99	0.05	0.923903	0.798999	0	0.264389	18769.44715	3307.568683
TCGA-AN-A0XU-01A-11R-A109-07	TCGA-AN-A0XU-01A-11R-A109-07T9900RG5_TINIT.mat	TCGA-AN-A0XU-01A-11R-A109-07T9900RG5.xml	286	0.99	0.05	0.892643	0.789671	0	1.218084	25399.46541	4907.772805
TCGA-24-1469-01A-01R-1566-13	TCGA-24-1469-01A-01R-1566-13T9900RG5_TINIT.mat	TCGA-24-1469-01A-01R-1566-13T9900RG5.xml	806	0.99	0.05	0.88538	0.78817	0	1.32181	24338.84924	7662.319461
TCGA-50-5049-01A-01R-1628-07	TCGA-50-5049-01A-01R-1628-07T9900RG5_TINIT.mat	TCGA-50-5049-01A-01R-1628-07T9900RG5.xml	580	0.99	0.05	0.890117	0.783097	0	1.201413	26489.46659	2376.896691
TCGA-A8-A094-01A-11R-A00Z-07	TCGA-A8-A094-01A-11R-A00Z-07T9900RG5_TINIT.mat	TCGA-A8-A094-01A-11R-A00Z-07T9900RG5.xml	316	0.99	0.05	0.878434	0.771862	0	1.582664	21997.29589	5480.045935
TCGA-D1-A17M-01A-21R-A12I-07	TCGA-D1-A17M-01A-21R-A12I-07T9900RG5_TINIT.mat	TCGA-D1-A17M-01A-21R-A12I-07T9900RG5.xml	750	0.99	0.05	0.875276	0.770546	0	2.544529	18359.97645	14440.66702
TCGA-AR-A1AP-01A-11R-A12P-07	TCGA-AR-A1AP-01A-11R-A12P-07T9900RG5_TINIT.mat	TCGA-AR-A1AP-01A-11R-A12P-07T9900RG5.xml	283	0.99	0.05	0.87875	0.7653	0	1.289264	21779.63144	7681.796843
TCGA-CN-5374-01A-01R-1436-07	TCGA-CN-5374-01A-01R-1436-07T9900RG5_TINIT.mat	TCGA-CN-5374-01A-01R-1436-07T9900RG5.xml	204	0.99	0.05	0.855068	0.726731	0	1.549403	22149.0712	10130.83059
TCGA-D8-A1XL-01A-11R-A14M-07	TCGA-D8-A1XL-01A-11R-A14M-07T9900RG5_TINIT.mat	TCGA-D8-A1XL-01A-11R-A14M-07T9900RG5.xml	279	0.99	0.05	0.771392	0.621061	6.28e-268	0.687285	18624.03927	9750.430461
TCGA-64-1676-01A-01R-0946-07	TCGA-64-1676-01A-01R-0946-07T9900RG5_TINIT.mat	TCGA-64-1676-01A-01R-0946-07T9900RG5.xml	524	0.99	0.05	0.702242	0.532984	5.84e-198	1.661213	16663.57809	12041.16799
