RxnID	Comps	Eq	Subs	Type	nModelsXGPR.rxnMaxInAnyGPR	Class
HMR_4097	c	acetate[c] + ATP[c] + CoA[c] => acetyl-CoA[c] + AMP[c] + PPi[c]	Glycolysis / Gluconeogenesis	Core	915	Universal
HMR_4108	c	acetyl adenylate[c] + CoA[c] => acetyl-CoA[c] + AMP[c]	Glycolysis / Gluconeogenesis	Core	915	Universal
HMR_4133	c	acetate[c] + ATP[c] => acetyl adenylate[c] + PPi[c]	Glycolysis / Gluconeogenesis	Core	915	Universal
HMR_4137	m	CoA[m] + NAD+[m] + pyruvate[m] => acetyl-CoA[m] + CO2[m] + H+[m] + NADH[m]	Glycolysis / Gluconeogenesis	Core	917	Universal
HMR_4281	p	H+[p] + NADH[p] + pyruvate[p] <=> L-lactate[p] + NAD+[p]	Glycolysis / Gluconeogenesis	Core	900	Universal
HMR_4388	c	H+[c] + NADH[c] + pyruvate[c] <=> L-lactate[c] + NAD+[c]	Glycolysis / Gluconeogenesis	Core	900	Universal
HMR_4379	c	ATP[c] + fructose-6-phosphate[c] => ADP[c] + fructose-1,6-bisphosphate[c]	Glycolysis / Gluconeogenesis	Core	917	Universal
HMR_4301	c	fructose-6-phosphate[c] + UTP[c] => fructose-1,6-bisphosphate[c] + UDP[c]	Glycolysis / Gluconeogenesis	Core	917	Universal
HMR_4355	c	DHAP[c] + erythrose-4-phosphate[c] => sedoheptulose-1,7-bisphosphate[c]	Glycolysis / Gluconeogenesis	Core	917	Universal
HMR_4358	c	ADP[c] + PEP[c] => ATP[c] + pyruvate[c]	Glycolysis / Gluconeogenesis	Core	917	Universal
HMR_4360	c	H2O[c] + methylglyoxal[c] + NADP+[c] => H+[c] + NADPH[c] + pyruvate[c]	Glycolysis / Gluconeogenesis	Core	915	Universal
HMR_4363	c	2-phospho-D-glycerate[c] <=> H2O[c] + PEP[c]	Glycolysis / Gluconeogenesis	Core	917	Universal
HMR_4365	c	2-phospho-D-glycerate[c] <=> 3-phospho-D-glycerate[c]	Glycolysis / Gluconeogenesis	Core	917	Universal
HMR_4368	c	1,3-bisphospho-D-glycerate[c] + ADP[c] <=> 3-phospho-D-glycerate[c] + ATP[c]	Glycolysis / Gluconeogenesis	Core	917	Universal
HMR_4371	c	1,3-bisphospho-D-glycerate[c] => 2,3-bisphospho-D-glycerate[c]	Glycolysis / Gluconeogenesis	Core	917	Universal
HMR_4372	c	2,3-bisphospho-D-glycerate[c] + H2O[c] => 3-phospho-D-glycerate[c] + Pi[c]	Glycolysis / Gluconeogenesis	Core	910	Universal
HMR_4373	c	1,3-bisphospho-D-glycerate[c] + H+[c] + NADH[c] <=> GAP[c] + NAD+[c] + Pi[c]	Glycolysis / Gluconeogenesis	Core	917	Universal
HMR_4375	c	DHAP[c] + GAP[c] <=> fructose-1,6-bisphosphate[c]	Glycolysis / Gluconeogenesis	Core	917	Universal
HMR_4381	c	fructose-6-phosphate[c] <=> glucose-6-phosphate[c]	Glycolysis / Gluconeogenesis	Core	917	Universal
HMR_4391	c	DHAP[c] <=> GAP[c]	Glycolysis / Gluconeogenesis	Core	917	Universal
HMR_4394	c	ATP[c] + glucose[c] => ADP[c] + glucose-6-phosphate[c]	Glycolysis / Gluconeogenesis	Core	917	Universal
HMR_4396	c	glucose-1-phosphate[c] <=> glucose-6-phosphate[c]	Glycolysis / Gluconeogenesis	Core	911	Universal
HMR_6410	m	lipoamide[m] + pyruvate[m] => CO2[m] + S-acetyldihydrolipoamide[m]	Glycolysis / Gluconeogenesis	Core	917	Universal
HMR_6412	m	CoA[m] + S-acetyldihydrolipoamide[m] => acetyl-CoA[m] + dihydrolipoamide[m]	Glycolysis / Gluconeogenesis	Core	916	Universal
