RxnID	Comps	Eq	Subs	Type	Class
HMR_3905	c	ethanol[c] + NAD+[c] => acetaldehyde[c] + H+[c] + NADH[c]	Glycolysis / Gluconeogenesis	Pan	Facultative
HMR_3907	c	ethanol[c] + NADP+[c] => acetaldehyde[c] + H+[c] + NADPH[c]	Glycolysis / Gluconeogenesis	Pan	Facultative
HMR_4099	m	acetate[m] + ATP[m] + CoA[m] => acetyl-CoA[m] + AMP[m] + PPi[m]	Glycolysis / Gluconeogenesis	Pan	Facultative
HMR_8357	m	acetaldehyde[m] + H2O[m] + NAD+[m] => acetate[m] + H+[m] + NADH[m]	Glycolysis / Gluconeogenesis	Pan	Facultative
HMR_4362	c	ATP[c] + H2O[c] + pyruvate[c] => AMP[c] + PEP[c] + Pi[c]	Glycolysis / Gluconeogenesis	Pan	Facultative
HMR_4370	c	1,3-bisphospho-D-glycerate[c] + H2O[c] => 3-phospho-D-glycerate[c] + Pi[c]	Glycolysis / Gluconeogenesis	Pan	Facultative
HMR_4377	c	fructose-1,6-bisphosphate[c] + H2O[c] => fructose-6-phosphate[c] + Pi[c]	Glycolysis / Gluconeogenesis	Pan	Facultative
HMR_4521	r	glucose-6-phosphate[r] + H2O[r] => glucose[r] + Pi[r]	Glycolysis / Gluconeogenesis	Pan	Facultative
HMR_7747	c	ADP[c] + beta-D-glucose[c] => AMP[c] + beta-D-glucose-6-phosphate[c]	Glycolysis / Gluconeogenesis	Pan	Facultative
HMR_8360	p	ethanol[p] + H2O2[p] => acetaldehyde[p] + 2 H2O[p]	Glycolysis / Gluconeogenesis	Pan	Facultative
HMR_8757	c	ethanol[c] + H+[c] + NADPH[c] + O2[c] => acetaldehyde[c] + 2 H2O[c] + NADP+[c]	Glycolysis / Gluconeogenesis	Pan	Facultative
HMR_4837	s	H2O[s] + trehalose[s] => 2 glucose[s]	Starch and sucrose metabolism	Pan	Facultative
HMR_8568	c	H2O[c] + maltodecaose[c] => fructose[c] + maltononaose[c]	Starch and sucrose metabolism	Pan	Facultative
HMR_8569	s	H2O[s] + maltodecaose[s] => glucose[s] + maltononaose[s]	Starch and sucrose metabolism	Pan	Facultative
HMR_8570	c	2 H2O[c] + maltononaose[c] => 2 fructose[c] + maltoheptaose[c]	Starch and sucrose metabolism	Pan	Facultative
HMR_8571	s	2 H2O[s] + maltononaose[s] => 2 glucose[s] + maltoheptaose[s]	Starch and sucrose metabolism	Pan	Facultative
HMR_8572	c	H2O[c] + maltoheptaose[c] => fructose[c] + maltohexaose[c]	Starch and sucrose metabolism	Pan	Facultative
HMR_8573	s	H2O[s] + maltoheptaose[s] => glucose[s] + maltohexaose[s]	Starch and sucrose metabolism	Pan	Facultative
HMR_8574	c	H2O[c] + maltohexaose[c] => fructose[c] + maltopentaose[c]	Starch and sucrose metabolism	Pan	Facultative
HMR_8575	s	H2O[s] + maltohexaose[s] => glucose[s] + maltopentaose[s]	Starch and sucrose metabolism	Pan	Facultative
HMR_8576	c	H2O[c] + maltopentaose[c] => fructose[c] + maltotetraose[c]	Starch and sucrose metabolism	Pan	Facultative
HMR_8577	s	H2O[s] + maltopentaose[s] => glucose[s] + maltotetraose[s]	Starch and sucrose metabolism	Pan	Facultative
HMR_8578	c	H2O[c] + maltotetraose[c] => fructose[c] + maltotriose[c]	Starch and sucrose metabolism	Pan	Facultative
HMR_8579	s	H2O[s] + maltotetraose[s] => glucose[s] + maltotriose[s]	Starch and sucrose metabolism	Pan	Facultative
HMR_8581	s	H2O[s] + maltotriose[s] => glucose[s] + maltose[s]	Starch and sucrose metabolism	Pan	Facultative
HMR_8591	c	H2O[c] + maltotriose[c] => glucose[c] + maltose[c]	Starch and sucrose metabolism	Pan	Facultative
